local-authority-code,league-group,la_deprivation_score,council-quintile
SAW,Single tier,35.1011244420764,1
SAY,Single tier,20.607720535260572,4
SCA,District councils,8.49453021636096,5
SCB,Single tier,16.001783137460148,5
SCE,District councils,26.360596540912322,1
SDE,District councils,14.22996728540662,3
SEG,District councils,21.39409499261231,2
SEL,District councils,12.8220422644008,4
SEV,District councils,12.399868215320911,4
SFK,County councils,18.19023282634615,1
SFT,Single tier,27.257467483086735,2
SGC,Single tier,11.674253573395344,5
SHA,District councils,13.78448118477312,4
SHE,District councils,24.007313736769433,1
SHF,Single tier,27.29229006776061,2
SHN,Single tier,31.78825867596977,1
SHO,District councils,17.810919731843104,2
SHR,Single tier,17.10501329471182,4
SKE,District councils,13.39512931809245,4
SKP,Single tier,21.091802701219745,3
SLA,District councils,12.490680848431795,4
SLF,Single tier,34.33304038495719,1
SLG,Single tier,22.9328652458556,3
SLK,Single tier,20.958878876540894,3
SND,Single tier,30.691123656397966,1
SNO,District councils,13.13699841709256,4
SOL,Single tier,17.46025083420373,4
SOM,County councils,18.36161709366019,1
SOS,Single tier,22.6453823453925,3
SOX,District councils,8.45337051324468,5
SPE,District councils,14.995468100236371,3
SRI,District councils,15.383548245297327,3
SRY,County councils,10.343215674748444,2
SSO,District councils,17.368434720365926,2
SST,District councils,13.352700727524985,4
STA,District councils,13.75422228292541,4
STE,Single tier,34.85016334275965,1
STF,District councils,15.053088027632441,3
STG,Single tier,15.683261274448258,5
STH,Single tier,26.882578120544906,2
STN,Single tier,14.07958985989755,5
STO,District councils,10.83640144543363,5
STR,District councils,11.726253854786389,4
STS,County councils,16.41937945721841,2
STT,Single tier,25.836416178527255,2
STV,District councils,19.857026501223746,2
STY,Single tier,31.715865058022455,1
SUR,District councils,8.153045697329375,5
SWA,Single tier,25.699641825300358,3
SWD,Single tier,18.612303996975594,4
SWK,Single tier,25.7353338236678,3
SWL,District councils,27.5989311243187,1
SWT,District councils,19.150645011765466,2
TAM,Single tier,31.66438354827744,1
TAN,District councils,11.926536429552135,4
TAW,District councils,21.006838466152082,2
TEI,District councils,15.981603258722595,3
TEN,District councils,30.496125845211186,1
TES,District councils,12.216568825301202,4
TEW,District councils,12.187032204085503,4
TFW,Single tier,25.003029585107925,3
THA,District councils,31.44299463085357,1
THE,District councils,9.92761804699806,5
THR,Single tier,21.129832036067253,3
TOB,Single tier,28.216444159866153,2
TOF,Single tier,27.446011138320134,2
TON,District councils,13.53495895666387,4
TOR,District councils,23.23329084330643,1
TRF,Single tier,16.14333361982523,5
TUN,District councils,11.320222313938206,5
TWH,Single tier,27.521556559762267,2
UTT,District councils,9.216569081109506,5
VAL,District councils,8.364813730175651,5
VGL,Single tier,18.67926521213294,4
WAE,District councils,7.510415956874173,5
WAR,County councils,12.860229108844827,2
WAT,District councils,15.490773579630762,3
WAW,District councils,11.990352020479568,4
WBK,Single tier,10.021977734301045,5
WDE,District councils,18.216201914115707,2
WDU,Single tier,28.878325797253176,2
WEA,District councils,12.362661037312279,4
WEW,District councils,14.314115081719395,3
WFT,Single tier,25.230597303805656,3
WGN,Single tier,25.92256949388732,2
WIL,Single tier,13.427684331152093,5
WIN,District councils,9.654869893239578,5
WKF,Single tier,27.36930997209398,2
WLA,District councils,18.646326509544554,2
WLI,District councils,20.508733680370447,2
WLL,Single tier,32.175975336102965,1
WLN,Single tier,19.42218209299943,4
WLV,Single tier,32.534546645807765,1
WND,Single tier,16.635101126253875,4
WNM,Single tier,8.423452477182972,5
WNT,Single tier,17.60152903098383,4
WOC,District councils,20.55670791922704,2
WOI,District councils,10.854296121754489,5
WOK,Single tier,5.83357479882421,5
WOR,County councils,18.05782964366818,1
WOT,District councils,17.310814425250975,3
WOX,District councils,8.736159973970338,5
WRL,Single tier,29.79318516963931,2
WRT,Single tier,19.102023684135347,4
WRX,Single tier,23.452547124825102,3
WSK,District councils,16.214400346281668,3
WSM,Single tier,19.99017473413517,4
WSX,County councils,14.18833713527553,2
WYC,District councils,15.846520663200263,3
WYE,District councils,22.784010227957065,1
WYR,District councils,20.76716669491751,2
YOR,Single tier,11.81076590319916,5
ZET,Single tier,13.89227279320911,5
